number,season,episode,airdate,title,tvmaze link
1,1,1,24 Mar 05,"Pilot","https://www.tvmaze.com/episodes/47640/the-office-1x01-pilot"
2,1,2,29 Mar 05,"Diversity Day","https://www.tvmaze.com/episodes/47641/the-office-1x02-diversity-day"
3,1,3,05 Apr 05,"Health Care","https://www.tvmaze.com/episodes/47642/the-office-1x03-health-care"
4,1,4,12 Apr 05,"The Alliance","https://www.tvmaze.com/episodes/47643/the-office-1x04-the-alliance"
5,1,5,19 Apr 05,"Basketball","https://www.tvmaze.com/episodes/47644/the-office-1x05-basketball"
6,1,6,26 Apr 05,"Hot Girl","https://www.tvmaze.com/episodes/47645/the-office-1x06-hot-girl"
7,2,1,20 Sep 05,"The Dundies","https://www.tvmaze.com/episodes/47646/the-office-2x01-the-dundies"
8,2,2,27 Sep 05,"Sexual Harassment","https://www.tvmaze.com/episodes/47647/the-office-2x02-sexual-harassment"
9,2,3,04 Oct 05,"Office Olympics","https://www.tvmaze.com/episodes/47648/the-office-2x03-office-olympics"
10,2,4,11 Oct 05,"The Fire","https://www.tvmaze.com/episodes/47649/the-office-2x04-the-fire"
11,2,5,18 Oct 05,"Halloween","https://www.tvmaze.com/episodes/47650/the-office-2x05-halloween"
12,2,6,01 Nov 05,"The Fight","https://www.tvmaze.com/episodes/47651/the-office-2x06-the-fight"
13,2,7,08 Nov 05,"The Client","https://www.tvmaze.com/episodes/47652/the-office-2x07-the-client"
14,2,8,15 Nov 05,"Performance Review","https://www.tvmaze.com/episodes/47653/the-office-2x08-performance-review"
15,2,9,22 Nov 05,"E-Mail Surveillance","https://www.tvmaze.com/episodes/47654/the-office-2x09-e-mail-surveillance"
16,2,10,06 Dec 05,"Christmas Party","https://www.tvmaze.com/episodes/47655/the-office-2x10-christmas-party"
17,2,11,05 Jan 06,"Booze Cruise","https://www.tvmaze.com/episodes/47656/the-office-2x11-booze-cruise"
18,2,12,12 Jan 06,"The Injury","https://www.tvmaze.com/episodes/47657/the-office-2x12-the-injury"
19,2,13,19 Jan 06,"The Secret","https://www.tvmaze.com/episodes/47658/the-office-2x13-the-secret"
20,2,14,26 Jan 06,"The Carpet","https://www.tvmaze.com/episodes/47659/the-office-2x14-the-carpet"
21,2,15,02 Feb 06,"Boys and Girls","https://www.tvmaze.com/episodes/47660/the-office-2x15-boys-and-girls"
